"","X","State","State_name","County","County_name","Tract","Block_Group","Tot_Population_ACS_08_12","Males_ACS_08_12","Females_ACS_08_12","Pop_25yrs_Over_ACS_08_12","Not_HS_Grad_ACS_08_12","College_ACS_08_12","Prs_Blw_Pov_Lev_ACS_08_12"
"286",574,31,"Nebraska",55,"Douglas County",7311,1,2478,1227,1251,1170,93,383,575
"287",575,31,"Nebraska",55,"Douglas County",7311,2,1085,440,645,664,50,142,195
"288",576,31,"Nebraska",55,"Douglas County",7312,1,1014,446,568,702,38,208,80
"289",577,31,"Nebraska",55,"Douglas County",7312,2,817,363,454,504,60,31,186
"290",578,31,"Nebraska",55,"Douglas County",7313,1,2321,1250,1071,1473,32,561,369
"291",579,31,"Nebraska",55,"Douglas County",7313,2,1609,928,681,1102,0,432,31
"292",580,31,"Nebraska",55,"Douglas County",7313,3,1756,851,905,1039,57,423,114
"293",581,31,"Nebraska",55,"Douglas County",7313,4,854,422,432,545,50,262,105
"294",582,31,"Nebraska",55,"Douglas County",7314,1,1565,754,811,1004,0,675,0
"295",583,31,"Nebraska",55,"Douglas County",7314,2,1308,655,653,806,0,503,4
"296",584,31,"Nebraska",55,"Douglas County",7315,1,2725,1364,1361,1842,109,1152,186
"297",585,31,"Nebraska",55,"Douglas County",7315,2,795,493,302,567,0,327,0
"298",586,31,"Nebraska",55,"Douglas County",7316,1,1857,929,928,1090,20,534,0
"299",587,31,"Nebraska",55,"Douglas County",7316,2,1074,528,546,670,25,403,0
"300",588,31,"Nebraska",55,"Douglas County",7317,1,819,347,472,621,54,285,142
"301",589,31,"Nebraska",55,"Douglas County",7317,2,1552,694,858,1059,9,343,189
"302",590,31,"Nebraska",55,"Douglas County",7317,3,1852,952,900,1164,60,435,150
"303",591,31,"Nebraska",55,"Douglas County",7318,1,1100,486,614,695,54,339,52
"304",592,31,"Nebraska",55,"Douglas County",7318,2,1609,779,830,980,23,543,0
"305",593,31,"Nebraska",55,"Douglas County",7318,3,796,442,354,531,11,289,0
"306",594,31,"Nebraska",55,"Douglas County",7318,4,186,77,109,161,0,93,0
"307",595,31,"Nebraska",55,"Douglas County",7405,1,778,416,362,517,12,352,23
"308",596,31,"Nebraska",55,"Douglas County",7405,2,645,347,298,502,17,362,0
"309",597,31,"Nebraska",55,"Douglas County",7405,3,881,476,405,26,0,6,140
"310",598,31,"Nebraska",55,"Douglas County",7406,1,988,457,531,828,37,278,0
"311",599,31,"Nebraska",55,"Douglas County",7406,2,1286,692,594,839,146,354,196
"312",600,31,"Nebraska",55,"Douglas County",7406,3,1716,1018,698,1153,27,545,107
"313",601,31,"Nebraska",55,"Douglas County",7406,4,952,523,429,621,15,344,240
"314",602,31,"Nebraska",55,"Douglas County",7407,1,1439,683,756,946,25,514,180
"315",603,31,"Nebraska",55,"Douglas County",7407,2,1055,532,523,727,121,249,297
"316",604,31,"Nebraska",55,"Douglas County",7407,3,627,269,358,456,17,99,7
"317",605,31,"Nebraska",55,"Douglas County",7408,1,951,462,489,744,94,185,35
"318",606,31,"Nebraska",55,"Douglas County",7408,2,1111,505,606,732,39,207,162
"319",607,31,"Nebraska",55,"Douglas County",7408,3,1138,585,553,804,22,284,204
"320",608,31,"Nebraska",55,"Douglas County",7408,4,902,383,519,660,29,151,48
"321",609,31,"Nebraska",55,"Douglas County",7409,1,1045,509,536,745,16,189,0
"322",610,31,"Nebraska",55,"Douglas County",7409,2,715,312,403,558,44,227,70
"323",611,31,"Nebraska",55,"Douglas County",7409,3,620,257,363,355,11,105,16
"324",612,31,"Nebraska",55,"Douglas County",7424,1,786,379,407,584,34,218,0
"325",613,31,"Nebraska",55,"Douglas County",7424,2,1049,463,586,719,43,257,65
"326",614,31,"Nebraska",55,"Douglas County",7424,3,1093,416,677,678,74,226,265
"327",615,31,"Nebraska",55,"Douglas County",7429,1,1137,513,624,785,9,474,10
"328",616,31,"Nebraska",55,"Douglas County",7429,2,1270,694,576,735,21,342,10
"329",617,31,"Nebraska",55,"Douglas County",7429,3,1334,608,726,959,0,687,1
"330",618,31,"Nebraska",55,"Douglas County",7431,1,1271,703,568,761,10,466,79
"331",619,31,"Nebraska",55,"Douglas County",7431,2,787,415,372,432,0,300,0
"332",620,31,"Nebraska",55,"Douglas County",7431,3,744,307,437,441,26,260,100
"333",621,31,"Nebraska",55,"Douglas County",7431,4,1364,566,798,1002,19,457,92
"334",622,31,"Nebraska",55,"Douglas County",7432,1,959,468,491,659,33,274,91
"335",623,31,"Nebraska",55,"Douglas County",7432,2,1173,530,643,637,43,83,120
"336",624,31,"Nebraska",55,"Douglas County",7432,3,1235,403,832,992,89,399,72
"337",625,31,"Nebraska",55,"Douglas County",7433,1,828,374,454,655,26,250,50
"338",626,31,"Nebraska",55,"Douglas County",7433,2,785,281,504,587,24,306,95
